,gender,age,field_of_work_agg,race,hometown_agg,partner_attractiveness,partner_sincerity,partner_intelligence,partner_humor,partner_ambition,partner_shared_interests,liking,reciprocity_estimate,acquaintance,partner_age,partner_field_of_work_agg,partner_race,partner_hometown_agg,decision
0,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,6.0,9.0,7.0,7.0,6.0,5.0,7.0,6.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,1
1,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,7.0,8.0,7.0,8.0,5.0,6.0,7.0,5.0,1,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,1
2,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,7.0,6.0,8.0,7.0,6.0,8.0,7.0,6.0,0,23.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
3,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,0,24.0,"Business, law, politics and intl. affairs",Latino,Mid US,1
4,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,4.0,9.0,7.0,4.0,6.0,4.0,6.0,5.0,0,25.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
5,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,7.0,6.0,7.0,4.0,6.0,7.0,6.0,5.0,0,30.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,1
6,0,21.0,"Business, law, politics and intl. affairs",Asian,Mid US,5.0,6.0,6.0,8.0,10.0,8.0,6.0,6.0,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Eastern US,1
7,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,5.0,7.0,8.0,4.0,6.0,3.0,6.0,4.0,0,27.0,"Business, law, politics and intl. affairs",Caucasian,South America,0
8,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,8.0,5.0,6.0,6.0,9.0,6.0,7.0,3.0,0,22.0,"Business, law, politics and intl. affairs",Caucasian,Europe,0
9,0,24.0,"Business, law, politics and intl. affairs",Caucasian,Mid US,5.0,8.0,9.0,6.0,3.0,4.0,6.0,7.0,0,22.0,"Business, law, politics and intl. affairs",Asian,Western US,0
